,name,ufc_record,nickname,height,reach,weight,stance,DOB,SLpM,SApM,Str_Acc_pct,Str_Def_pct,TD_Avg,TD_Acc_pct,TD_Def_pct,Sub_Avg
0,Tom Aaron, 5-3-0,, --, --,155,," Jul 13, 1978",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Danny Abbadi, 4-6-0,THE ASSASSIN," 5' 11""", --,155, Orthodox," Jul 03, 1983",3.29,4.41,38.0,57.0,0.0,0.0,77.0,0.0
2,David Abbott, 10-15-0,TANK," 6' 0""", --,265, Switch, --,1.35,3.55,30.0,38.0,1.07,33.0,66.0,0.0
3,Shamil Abdurakhimov, 20-5-0,ABREK," 6' 3"""," 76""",235, Orthodox," Sep 02, 1981",2.45,2.45,44.0,58.0,1.23,24.0,47.0,0.2
4,Hiroyuki Abe, 8-15-3 (1 NC),ABE ANI," 5' 6""", --,145, Orthodox, --,1.71,3.11,36.0,63.0,0.0,0.0,33.0,0.0
5,Daichi Abe, 6-2-0,," 5' 11"""," 71""",170, Orthodox," Nov 27, 1991",3.8,4.49,33.0,56.0,0.33,50.0,0.0,0.0
6,Papy Abedi, 10-4-0,MAKAMBO," 5' 11""", --,185, Southpaw," Jun 30, 1978",2.8,3.15,55.0,48.0,3.47,57.0,50.0,1.3
7,Ricardo Abreu, 5-1-0,DEMENTE," 5' 11""", --,185, Orthodox," Apr 27, 1984",3.79,3.98,31.0,68.0,2.13,42.0,100.0,0.7
8,Klidson Abreu, 15-4-0 (1 NC),WHITE BEAR," 6' 0"""," 74""",205, Orthodox," Dec 24, 1992",2.05,2.9,40.0,55.0,0.64,20.0,80.0,0.0
9,Daniel Acacio, 30-18-0,," 5' 8""", --,180, Orthodox," Dec 27, 1977",3.52,2.85,36.0,62.0,0.33,20.0,81.0,0.0
10,Scott Adams, 8-1-0,," 6' 0""", --,225, Southpaw, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Juan Adams, 5-3-0,THE KRAKEN," 6' 5"""," 80""",265, Orthodox," Jan 16, 1992",7.09,4.06,55.0,34.0,0.91,66.0,57.0,0.0
12,Anthony Adams, 8-2-0,SUGAFOOT," 6' 1"""," 76""",185, Orthodox," Jan 13, 1988",3.17,5.93,41.0,44.0,0.0,0.0,0.0,0.0
13,Zarrukh Adashev, 3-3-0,THE LION," 5' 5"""," 65""",125, Southpaw," Jul 29, 1992",1.93,3.35,23.0,60.0,0.0,0.0,0.0,0.0
14,Israel Adesanya, 21-1-0,THE LAST STYLEBENDER," 6' 4"""," 80""",185, Switch," Jul 22, 1989",3.94,2.59,50.0,62.0,0.0,0.0,80.0,0.2
15,Sam Adkins, 7-20-2,THE EXPERIENCE," 6' 3""", --,225, Orthodox," Apr 26, 1965",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Nick Agallar, 24-6-0,," 5' 8""", --,155, Orthodox," Jan 13, 1979",0.69,4.56,11.0,42.0,0.0,0.0,0.0,0.0
17,Mariya Agapova, 9-2-0,," 5' 6"""," 68""",125, Southpaw," Apr 07, 1997",3.7,4.15,50.0,47.0,1.23,66.0,33.0,0.6
18,Marcelo Aguiar, 2-3-1,," 5' 10""", --,170, Orthodox, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Fabio Aguiar, 17-1-0,," 6' 0""", --,185,," Feb 10, 1988",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Edwin Aguilar, 26-19-0 (1 NC),TIGRE," 5' 10""", --,185,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Jessica Aguilar, 20-8-0,JAG," 5' 3"""," 63""",115, Orthodox," May 08, 1982",4.93,7.19,50.0,53.0,0.94,25.0,50.0,0.2
22,Kevin Aguilar, 17-5-0,ANGEL OF DEATH," 5' 7"""," 73""",155, Orthodox," Sep 07, 1988",3.96,4.81,40.0,52.0,0.16,16.0,78.0,0.0
23,Christian Aguilera, 14-8-0,THE BEAST," 5' 9"""," 72""",170, Switch," Nov 25, 1991",2.54,4.04,37.0,48.0,0.0,0.0,60.0,0.0
24,Mike Aina, 14-6-1 (1 NC),IRON," 5' 9""", --,155, Orthodox, --,2.87,6.33,33.0,59.0,0.0,0.0,71.0,0.0
25,Hitomi Akano, 18-10-0,GIRLFIGHT MONSTER," 5' 4""", --,135, Southpaw," Jul 27, 1974",0.59,2.58,45.0,55.0,0.0,0.0,8.0,0.5
26,Omari Akhmedov, 21-6-1,WOLVERINE," 6' 0"""," 73""",185, Orthodox," Oct 12, 1987",2.97,2.84,34.0,55.0,2.58,45.0,65.0,0.2
27,Yoshihiro Akiyama, 14-6-0 (2 NC),," 5' 10"""," 75""",170, Orthodox," Jul 29, 1975",3.1,3.62,41.0,57.0,2.29,67.0,92.0,1.0
28,Rostem Akman, 6-2-0,," 5' 10"""," 72""",170, Switch," Dec 19, 1991",1.8,3.97,25.0,57.0,1.0,40.0,87.0,0.0
29,Razak Al-Hassan, 13-5-0,," 6' 2""", --,205, Orthodox," May 14, 1982",3.27,3.14,39.0,60.0,0.65,14.0,57.0,0.0
30,Mostapha Al-Turk, 6-6-0,," 6' 2"""," 77""",245, Orthodox," Jul 14, 1973",1.36,3.61,19.0,53.0,0.0,0.0,0.0,0.0
31,Herdem Alacabek, 5-1-0,," 6' 2"""," 75""",205, Orthodox," Jun 07, 1991",3.84,6.66,65.0,23.0,2.06,50.0,42.0,0.0
32,Javi Alanis, 0-4-0,," 5' 6""", --,135,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Heili Alateng, 14-8-1,THE MONGOLIAN KNIGHT," 5' 5"""," 66""",135, Orthodox," Dec 14, 1991",2.87,5.82,32.0,57.0,2.33,35.0,100.0,0.0
34,Amir Albazi, 14-1-0,THE PRINCE," 5' 5"""," 68""",125, Orthodox," Oct 27, 1993",4.06,3.15,40.0,58.0,2.28,75.0,66.0,0.8
35,Brett Albee, 3-2-0,, --, --,225,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,John Albert, 6-5-0,PRINCE," 5' 8"""," 68""",135, Orthodox," Oct 13, 1986",3.05,2.82,49.0,35.0,0.0,0.0,50.0,6.1
37,Junior Albini, 14-6-0,BABY," 6' 3"""," 74""",264, Orthodox," Mar 15, 1991",3.98,6.08,51.0,52.0,1.54,37.0,100.0,0.0
38,Wes Albritton, 0-1-0,," 5' 10""", --,188, Orthodox, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Aleksandra Albu, 3-2-0,STITCH," 5' 2"""," 63""",115, Orthodox," Jul 14, 1990",4.83,5.56,47.0,38.0,2.27,50.0,77.0,0.4
40,Israel Albuquerque, 0-3-0,, --, --,185, Orthodox, --,0.32,3.34,13.0,25.0,0.0,0.0,0.0,0.0
41,Juan Alcain, 1-2-0,, --, --,--,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Iuri Alcantara, 35-10-0 (1 NC),MARAJO," 5' 9"""," 71""",135, Southpaw," Aug 04, 1980",2.72,2.79,45.0,49.0,1.44,62.0,60.0,0.8
43,Ildemar Alcantara, 21-11-0,MARAJO," 6' 2"""," 78""",185, Orthodox," Nov 18, 1982",1.93,2.63,38.0,50.0,2.0,68.0,81.0,0.9
44,Alfonso Alcarez, 1-3-1,," 5' 3""", --,145,," Jun 10, 1970",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Gilbert Aldana, 6-2-0,EL PELIGRO," 6' 1""", --,250, Orthodox," Aug 25, 1977",2.91,6.26,54.0,26.0,2.57,40.0,33.0,0.0
46,Irene Aldana, 13-6-0,," 5' 9"""," 68""",135, Orthodox," Mar 26, 1988",5.61,5.94,39.0,60.0,0.22,50.0,84.0,0.1
47,Hector Aldana, 4-3-0,," 5' 11"""," 72""",170, Orthodox," Aug 17, 1988",3.59,5.08,38.0,59.0,0.93,100.0,0.0,0.0
48,Jose Aldo, 29-7-0,," 5' 7"""," 70""",135, Orthodox," Sep 09, 1986",3.45,3.52,45.0,61.0,0.57,56.0,91.0,0.1
49,JJ Aldrich, 9-4-0,," 5' 5"""," 67""",125, Southpaw," Sep 29, 1992",3.76,4.55,41.0,61.0,0.8,40.0,57.0,0.0
50,Jim Alers, 13-3-0 (1 NC),THE BEAST," 5' 9"""," 71""",145, Orthodox," Oct 14, 1986",2.9,4.38,40.0,56.0,2.26,41.0,80.0,0.3
51,John Alessio, 35-17-0 (2 NC),THE NATURAL," 5' 10"""," 72""",155, Orthodox," Jul 05, 1979",2.1,2.91,39.0,54.0,1.85,38.0,70.0,1.2
52,Houston Alexander, 17-15-1 (2 NC),THE ASSASSIN," 6' 0"""," 72""",205, Orthodox," Mar 22, 1972",3.06,3.2,54.0,52.0,1.19,57.0,33.0,0.0
53,Kenneth Alexander, 7-6-0 (1 NC),THE MACHINE," 5' 9""", --,155, Orthodox," Sep 25, 1977",0.88,2.2,19.0,66.0,4.71,26.0,0.0,0.0
54,Marcio Alexandre Junior, 17-4-0,LYOTO," 6' 0"""," 75""",185, Southpaw," May 05, 1989",1.61,2.89,45.0,42.0,0.35,20.0,66.0,0.7
55,Olaf Alfonso, 8-12-0,," 6' 2""", --,170, Orthodox," Aug 06, 1974",1.65,4.77,38.0,53.0,0.37,7.0,22.0,0.7
56,Pablo Alfonso, 9-7-0,THE HURRICANE," 5' 8""", --,145,," May 09, 1983",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Levi Alford, 1-7-0,, --, --,--,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Bill Algeo, 14-6-0,SENOR PERFECTO," 6' 0"""," 73""",145, Switch," Jun 09, 1989",6.37,4.87,53.0,40.0,0.5,28.0,55.0,0.0
59,Royce Alger, 3-2-0,," 5' 10""", --,199, Orthodox, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Amir Aliakbari, 10-1-0,," 6' 3""", --,250,," Jun 10, 1984",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Sultan Aliev, 15-3-0,," 5' 11"""," 74""",170, Orthodox," Sep 17, 1984",1.41,2.2,45.0,56.0,1.76,38.0,100.0,0.0
62,John Allan, 13-6-0 (1 NC),," 6' 1"""," 75""",205, Orthodox," Feb 22, 1993",2.95,4.01,43.0,52.0,1.94,71.0,50.0,1.2
63,George Allen, 13-19-2,," 6' 2""", --,205, Open Stance," Jan 13, 1967",0.8,3.1,38.0,43.0,0.0,0.0,50.0,0.0
64,Arnold Allen, 17-1-0,ALMIGHTY," 5' 8"""," 70""",145, Southpaw," Jan 22, 1994",2.96,2.15,40.0,66.0,1.44,50.0,76.0,0.4
65,Brendan Allen, 17-4-0,ALL IN," 6' 2"""," 75""",185, Orthodox," Dec 28, 1995",4.1,4.24,52.0,45.0,1.29,45.0,50.0,1.6
66,Ben Alloway, 18-8-0,BLANCO," 5' 11"""," 76""",170, Orthodox," Feb 19, 1981",1.28,1.9,49.0,59.0,0.62,50.0,26.0,0.0
67,Ricardo Almeida, 13-5-0,BIG DOG," 6' 0"""," 74""",170, Orthodox," Nov 29, 1976",2.02,1.2,49.0,61.0,3.74,38.0,31.0,1.2
68,Magno Almeida, 10-3-0 (1 NC),," 6' 0""", --,155,," Jun 06, 1985",1.67,2.6,36.0,41.0,0.0,0.0,40.0,5.0
69,Thomas Almeida, 22-5-0,THOMINHAS," 5' 7"""," 70""",145, Southpaw," Jul 31, 1991",4.84,4.93,43.0,61.0,0.17,14.0,75.0,0.0
70,Ericka Almeida, 7-3-0,," 5' 6""", --,115, Orthodox," Mar 05, 1989",1.07,3.33,39.0,43.0,0.5,33.0,37.0,0.0
71,Estefani Almeida, 7-3-0,," 5' 4""", --,125, Orthodox," Oct 17, 1988",3.13,6.07,37.0,42.0,0.0,0.0,0.0,0.0
72,Jailton Almeida, 0-0-0,GAFANHOTO DESTRUIDOR," 5' 2""", --,135,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Lucas Almeida, 12-0-0,," 5' 11""", --,155,," Jan 13, 1991",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Mauricio Alonso, 13-7-0 (1 NC),," 6' 2""", --,170,," Feb 27, 1980",5.74,1.91,34.0,67.0,0.0,0.0,0.0,0.0
75,Sarah Alpar, 9-5-0,TOO SWEET," 5' 4"""," 63""",135, Southpaw," Jun 01, 1991",2.11,4.76,54.0,32.0,2.69,28.0,50.0,0.7
76,Ali AlQaisi, 8-5-0,THE ROYAL FIGHTER," 5' 6"""," 68""",135, Orthodox," Sep 23, 1990",2.43,1.97,42.0,56.0,3.5,29.0,60.0,1.0
77,Rico Altamirano, 4-3-0,," 5' 10""", --,170,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Victor Altamirano, 9-1-0,EL MAGNIFICO," 5' 6""", --,125,," Jan 23, 1991",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Mike Altman, 1-4-0,," 5' 10""", --,185, Orthodox, --,1.56,2.08,20.0,75.0,0.0,0.0,0.0,0.0
80,Sean Alvarez, 4-3-0,," 6' 0""", --,235, Orthodox," Jul 14, 1971",0.89,3.25,37.0,47.0,0.0,0.0,0.0,0.0
81,Eddie Alvarez, 29-6-0 (1 NC),," 5' 9"""," 69""",155, Orthodox," Jan 11, 1984",4.32,4.39,41.0,55.0,2.92,36.0,92.0,0.5
82,Jaime Alvarez, 6-1-0,," 5' 8"""," 69""",125, Orthodox," Mar 08, 1988",2.73,4.53,40.0,56.0,1.0,33.0,50.0,0.0
83,Joel Alvarez, 18-2-0,EL FENOMENO," 6' 3"""," 77""",155, Orthodox," Mar 02, 1994",2.84,3.31,37.0,53.0,0.0,0.0,0.0,1.6
84,Thiago Alves, 23-15-0,PITBULL," 5' 9"""," 70""",170, Orthodox," Oct 03, 1983",3.73,3.42,41.0,62.0,0.71,60.0,63.0,0.3
85,Anthony Alves, 1-4-0,, --, --,--,, --,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Amilcar Alves, 15-12-0,," 6' 0""", --,170, Southpaw," Aug 08, 1988",0.5,2.02,46.0,30.0,0.0,0.0,53.0,0.0
87,Warlley Alves, 15-5-0,," 5' 11"""," 72""",170, Orthodox," Jan 04, 1991",3.07,3.63,48.0,51.0,1.42,52.0,78.0,1.1
88,Rafael Alves, 19-10-0,THE TURN," 5' 8"""," 68""",155, Orthodox," Oct 10, 1990",2.01,3.71,46.0,56.0,0.0,0.0,50.0,1.3
89,Sam Alvey, 33-15-1 (1 NC),SMILE'N," 6' 2"""," 75""",205, Southpaw," May 06, 1986",3.2,3.44,43.0,54.0,0.07,16.0,82.0,0.1
90,Andre Amado, 6-4-1,DIDA," 6' 0""", --,154, Orthodox, --,2.27,5.91,24.0,63.0,0.0,0.0,20.0,0.0
